,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-24 10:56:00,2021-02-24,10:56 AM,2057.58,2055.84,2057.206,249,512244.18,6,2057.95,2056.05,2057.149,800,1645719.0,8,2057.07,2057.58,2057.23,2057.58,0.010065272061849,0.011568515895030612
2021-02-24 10:57:00,2021-02-24,10:57 AM,2056.66,2056.66,2056.66,100,205666.0,1,2057.84,2055.63,2056.666,900,1850999.0,7,2056.66,2056.66,2056.62,2055.96,0.009797192132786937,0.011331008746458964
2021-02-24 10:58:00,2021-02-24,10:58 AM,2057.21,2055.135,2055.738,10,20557.385,3,,,,0,0.0,0,2055.135,2057.21,,,0.009344500384444258,0.011598511621868944
2021-02-24 10:59:00,2021-02-24,10:59 AM,2056.705,2056.705,2056.705,1,2056.705,1,2057.315,2057.014,2057.124,274,563651.9186,2,2056.705,2056.705,2057.014,2057.315,0.009819286632434934,0.011556222564359151
2021-02-24 11:00:00,2021-02-24,11 AM,2055.745,2054.78,2055.155,176,361707.24,4,2055.75,2054.775,2055.102,300,616530.5,3,2055.54,2055.745,2054.78,2055.75,0.009058253866783078,0.010561937979654937
2021-02-24 11:01:00,2021-02-24,11:01 AM,2053.51,2051.16,2052.71,162,332539.0,6,2053.645,2051.32,2052.562,300,615768.5,3,2053.51,2053.36,2053.645,2051.32,0.007857786052577118,0.009312935583438941
2021-02-24 11:02:00,2021-02-24,11:02 AM,2052.16,2051.51,2051.947,6,12311.68,4,2052.27,2052.01,2052.183,300,615655.0,3,2051.95,2051.51,2052.27,2052.01,0.0074831615363239535,0.0091265686904603
2021-02-24 11:03:00,2021-02-24,11:03 AM,,,,0,0.0,0,2049.53,2049.53,2049.53,202,414005.06,1,,,2049.53,2049.53,,0.00782200043960958
2021-02-24 11:04:00,2021-02-24,11:04 AM,2051.93,2051.93,2051.93,58,119011.94,1,2052.805,2052.01,2052.295,1200,2462754.5,9,2051.93,2051.93,2052.01,2052.52,0.007474814725345697,0.009181642811868288
2021-02-24 11:05:00,2021-02-24,11:05 AM,2055.34,2053.99,2054.313,602,1236696.68,8,2055.85,2053.99,2054.7,800,1643760.0,8,2054.35,2053.99,2054.35,2053.99,0.008644841228925627,0.010364261222458523
