,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-03-18 12:44:00,2021-03-18,12:44 PM,2060.715,2060.17,2060.393,91.0,187495.805,4.0,2060.98,2060.0,2060.203,900,1854183.0,8,2060.28,2060.715,2060.0,2060.98,-0.0013087146338045927,0.0013229769801032195
2021-03-18 12:45:00,2021-03-18,12:45 PM,,,,0.0,0.0,0.0,2060.94,2060.87,2060.905,200,412181.0,2,,,2060.94,2060.87,,0.0016641708963533455
2021-03-18 12:46:00,2021-03-18,12:46 PM,2059.75,2059.34,2059.399,251.0,516909.28,7.0,2060.77,2058.88,2059.407,1500,3089110.0,13,2059.75,2059.34,2060.77,2059.81,-0.0017905155026942364,0.0009360961291987293
2021-03-18 12:47:00,2021-03-18,12:47 PM,2059.67,2059.67,2059.67,1.0,2059.67,1.0,2059.11,2059.11,2059.11,147,302689.17,1,2059.67,2059.67,2059.11,2059.11,-0.001659159330190047,0.0007917448569390946
2021-03-18 12:48:00,2021-03-18,12:48 PM,2060.47,2060.47,2060.47,21.0,43269.87,1.0,2061.43,2059.67,2060.682,400,824273.0,4,2060.47,2060.47,2059.67,2061.43,-0.0012713920312850888,0.0015557859343534968
2021-03-18 12:49:00,2021-03-18,12:49 PM,,,,0.0,0.0,0.0,2060.75,2060.13,2060.436,718,1479392.9588,7,,,2060.47,2060.5,,0.0014362222543002471
2021-03-18 12:50:00,2021-03-18,12:50 PM,2059.08,2059.0,2059.043,186.0,382982.0,4.0,2059.76,2058.88,2059.17,1364,2808707.53,8,2059.08,2059.0,2058.88,2059.26,-0.001963071950706889,0.0008209067301228301
2021-03-18 12:51:00,2021-03-18,12:51 PM,,,,0.0,0.0,0.0,2059.96,2059.26,2059.573,350,720850.75,3,,,2059.26,2059.96,,0.0010167773116736647
2021-03-18 12:52:00,2021-03-18,12:52 PM,2059.96,2059.73,2059.897,33.0,67976.61,3.0,2060.01,2058.97,2059.593,700,1441715.0,7,2059.96,2059.96,2059.96,2059.47,-0.0015491303591257945,0.0010264979360682432
2021-03-18 12:53:00,2021-03-18,12:53 PM,2059.58,2058.89,2059.518,17.0,35011.81,3.0,2058.43,2058.11,2058.255,720,1481943.75,6,2059.22,2058.89,2058.4,2058.11,-0.0017328351169820354,0.0003761881640704761
2021-03-18 12:54:00,2021-03-18,12:54 PM,2057.87,2057.2,2057.488,265.0,545234.305,6.0,2058.33,2057.495,2057.951,400,823180.5,4,2057.87,2057.495,2058.33,2057.495,-0.0027167946379538,0.00022843467327270572
2021-03-18 12:55:00,2021-03-18,12:55 PM,,,,0.0,0.0,0.0,2058.17,2056.44,2057.117,2300,4731370.0,14,,,2056.95,2056.71,,-0.0001769153639815059
2021-03-18 12:56:00,2021-03-18,12:56 PM,2056.19,2054.225,2055.194,332.0,682324.285,14.0,2056.575,2054.21,2055.109,8207,16866282.89,33,2056.19,2055.0,2056.575,2054.76,-0.0038287173675640835,-0.001152866053198206
2021-03-18 12:57:00,2021-03-18,12:57 PM,2056.5,2056.01,2056.22,7.0,14393.54,2.0,2056.34,2055.5,2055.864,400,822345.5,4,2056.5,2056.01,2055.595,2055.5,-0.0033314058067183826,-0.0007859124823024801
2021-03-18 12:58:00,2021-03-18,12:58 PM,2057.41,2057.14,2057.383,20.0,41147.66,2.0,2055.49,2055.49,2055.49,100,205549.0,1,2057.14,2057.41,2055.49,2055.49,-0.0027676890959351017,-0.0009676881584813858
2021-03-18 12:59:00,2021-03-18,12:59 PM,2057.17,2055.045,2056.046,240.0,493450.97,8.0,2055.55,2054.9,2055.105,1500,3082658.0,7,2057.17,2055.045,2055.55,2054.9,-0.003415745194230229,-0.0011548101780770774
2021-03-18 13:00:00,2021-03-18,1 PM,2057.78,2055.14,2056.156,188.0,386557.42,7.0,2058.01,2055.49,2057.218,700,1440053.0,7,2055.36,2057.78,2055.49,2058.01,-0.0033624271906307172,-0.00012782621078900593
2021-03-18 13:01:00,2021-03-18,1:01 PM,2056.18,2056.18,2056.18,1.0,2056.18,1.0,2057.78,2057.78,2057.78,100,205778.0,1,2056.18,2056.18,2057.78,2057.78,-0.0033507941716636193,0.00014532333469907042
2021-03-18 13:02:00,2021-03-18,1:02 PM,,,,0.0,0.0,0.0,2058.63,2057.167,2058.141,1050,2161047.785,10,,,2057.778,2058.63,,0.0003207806050213122
2021-03-18 13:03:00,2021-03-18,1:03 PM,2057.85,2057.85,2057.85,100.0,205785.0,1.0,2058.91,2057.85,2058.643,691,1422522.43,6,2057.85,2057.85,2057.85,2058.91,-0.0025413299351992073,0.0005647682773254319
